종점,버스노선id,버스번호,버스종류,기점,node_id,출발지,종착지
매곡(종점),DGB1000001000,급행1,급행버스,동화시설집단지구(종점)1,DGB1000001000,동화시설집단지구(종점)1,매곡(종점)
북구 동호동(종점)2(서리지입구),DGB1000002001,급행2,급행버스,냉천전원음식점지구,DGB1000001000,냉천전원음식점지구,북구 동호동(종점)2(서리지입구)
동명교통,DGB1000003000,급행3,급행버스,범물1동행정복지센터건너,DGB1000001000,범물1동행정복지센터건너,동명교통
신흥버스,DGB1000005000,급행5,급행버스,대구대(정문1),DGB1000001000,대구대(정문1),신흥버스
북구 동호동(종점)2(서리지입구),DGB1000007000,급행7,급행버스,남도버스1,DGB1000001000,남도버스1,북구 동호동(종점)2(서리지입구)
서대구역(남측)2,DGB1000008004,급행8,급행버스,기업은행국가산단지점건너,DGB1000001000,기업은행국가산단지점건너,서대구역(남측)2
진천역(2번출구),DGB1000008101,급행8-1,급행버스,유곡리공영차고지앞,DGB1000001000,유곡리공영차고지앞,진천역(2번출구)
군위군청,DGB1000009002,급행9,급행버스,북구 동호동(종점)1,DGB1000001000,북구 동호동(종점)1,군위군청
우보버스정류장,DGB1000009100,급행9-1,급행버스,북구 동호동(종점)1,DGB1000001000,북구 동호동(종점)1,우보버스정류장
삼국유사면문화관,DGB1000009200,급행9-2,급행버스,북구 동호동(종점)1,DGB1000001000,북구 동호동(종점)1,삼국유사면문화관
소보시장,DGB1000009300,급행9-3,급행버스,북구 동호동(종점)1,DGB1000001000,북구 동호동(종점)1,소보시장
반야월역(3번출구),DGB1000010000,급행10,급행버스,대천공영차고지앞,DGB1000001000,대천공영차고지앞,반야월역(3번출구)
성보교통건너,DGB2000002000,순환2,순환버스,성보교통앞,DGB1000001000,성보교통앞,성보교통건너
성보교통건너,DGB2000002100,순환2-1,순환버스,성보교통앞,DGB1000001000,성보교통앞,성보교통건너
범물1동행정복지센터앞,DGB2000003000,순환3,순환버스,범물1동행정복지센터건너,DGB1000001000,범물1동행정복지센터건너,범물1동행정복지센터앞
범물1동행정복지센터앞,DGB2000003100,순환3-1,순환버스,범물1동행정복지센터건너,DGB1000001000,범물1동행정복지센터건너,범물1동행정복지센터앞
파계사(종점),DGB3000101011,101,간선버스,파계사(종점),DGB1000001000,파계사(종점),파계사(종점)
파계사(종점),DGB3000101012,101,간선버스,파계사(종점),DGB1000001000,파계사(종점),파계사(종점)
파계사(종점),DGB3000101013,101,간선버스,파계사(종점),DGB1000001000,파계사(종점),파계사(종점)
파계사(종점),DGB3000101016,101,간선버스,파계사(종점),DGB1000001000,파계사(종점),파계사(종점)
파계사(종점),DGB3000101017,101,간선버스,파계사(종점),DGB1000001000,파계사(종점),파계사(종점)
파계사(종점),DGB3000101018,101,간선버스,파계사(종점),DGB1000001000,파계사(종점),파계사(종점)
파계사(종점),DGB3000101019,101,간선버스,파계사(종점),DGB1000001000,파계사(종점),파계사(종점)
파계사(종점),DGB3000101020,101,간선버스,파계사(종점),DGB1000001000,파계사(종점),파계사(종점)
파계사(종점),DGB3000101110,101-1,간선버스,파계사(종점),DGB1000001000,파계사(종점),파계사(종점)
파계사(종점),DGB3000101111,101-1,간선버스,파계사(종점),DGB1000001000,파계사(종점),파계사(종점)
파계사(종점),DGB3000101112,101-1,간선버스,파계사(종점),DGB1000001000,파계사(종점),파계사(종점)
파계사(종점),DGB3000101113,101-1,간선버스,파계사(종점),DGB1000001000,파계사(종점),파계사(종점)
파계사(종점),DGB3000101114,101-1,간선버스,파계사(종점),DGB1000001000,파계사(종점),파계사(종점)
파계사(종점),DGB3000101115,101-1,간선버스,파계사(종점),DGB1000001000,파계사(종점),파계사(종점)
파계사(종점),DGB3000101116,101-1,간선버스,파계사(종점),DGB1000001000,파계사(종점),파계사(종점)
파계사(종점),DGB3000101117,101-1,간선버스,파계사(종점),DGB1000001000,파계사(종점),파계사(종점)
신흥버스,DGB3000156000,156,간선버스,신덕마을입구건너,DGB1000001000,신덕마을입구건너,신흥버스
금호지구종점(종점방향),DGB3000204000,204,간선버스,범물1동행정복지센터건너,DGB1000001000,범물1동행정복지센터건너,금호지구종점(종점방향)
방천리공영차고지,DGB3000232000,232,간선버스,방천리공영차고지,DGB1000001000,방천리공영차고지,방천리공영차고지
냉천전원음식점지구,DGB3000240001,240,간선버스,방천리공영차고지,DGB1000001000,방천리공영차고지,냉천전원음식점지구
앞산공원,DGB3000300000,300,간선버스,유통단지회차지2,DGB1000001000,유통단지회차지2,앞산공원
가창초등학교건너,DGB3000304001,304,간선버스,유통단지회차지2,DGB1000001000,유통단지회차지2,가창초등학교건너
대곡공원건너,DGB3000306000,306,간선버스,유통단지회차지2,DGB1000001000,유통단지회차지2,대곡공원건너
부적주공A 건너,DGB3000309002,309,간선버스,서대구역(남측)1,DGB1000001000,서대구역(남측)1,부적주공A 건너
앞산공원,DGB3000320000,320,간선버스,성보교통앞,DGB1000001000,성보교통앞,앞산공원
방천리공영차고지,DGB3000323101,232-1,간선버스,방천리공영차고지,DGB1000001000,방천리공영차고지,방천리공영차고지
유통단지회차지,DGB3000326000,326,간선버스,남도버스1,DGB1000001000,남도버스1,유통단지회차지
유통단지회차지,DGB3000349000,349,간선버스,덕원고등학교앞2,DGB1000001000,덕원고등학교앞2,유통단지회차지
월광수변공원,DGB3000356000,356,간선버스,조야동(종점),DGB1000001000,조야동(종점),월광수변공원
갓바위,DGB3000401000,401,간선버스,범물1동행정복지센터건너,DGB1000001000,범물1동행정복지센터건너,갓바위
갓바위,DGB3000401078,401,간선버스,범물1동행정복지센터건너,DGB1000001000,범물1동행정복지센터건너,갓바위
갓바위,DGB3000401079,401,간선버스,범물1동행정복지센터건너,DGB1000001000,범물1동행정복지센터건너,갓바위
서대구역(남측)2,DGB3000402001,402,간선버스,범물1동행정복지센터건너,DGB1000001000,범물1동행정복지센터건너,서대구역(남측)2
조야동(종점),DGB3000403001,403,간선버스,범물1동행정복지센터건너,DGB1000001000,범물1동행정복지센터건너,조야동(종점)
방천리공영차고지,DGB3000405004,405,간선버스,삼산리(세왕교통1),DGB1000001000,삼산리(세왕교통1),방천리공영차고지
